bestand,noise,algoritme,tijd,metriek,voor,na,verschil
lena/,0_original.png,Convolution filter,0.077764056,SSIM,1,0.904392040672465,-0.0956079593275345
lena/,0_original.png,Spectrum filter,0.052563117,SSIM,1,0.850659208438388,-0.149340791561612
lena/,0_original.png,First spectrum then convolution,0.110498357,SSIM,1,0.797270230652398,-0.202729769347602
lena/,0_original.png,First convolution then spectrum,0.104069531,SSIM,1,0.793431353972122,-0.206568646027878
lena/,0_original.png,Wiener Filter,0.011727815,SSIM,1,0.887079121262829,-0.112920878737171
lena/,0_original.png,FFT row,0.009246498,SSIM,1,0.732759692797301,-0.267240307202699
lena/,0_original.png,FFT col,0.006621197,SSIM,1,0.671343797677519,-0.328656202322481
lena/,0_original.png,DCT row,0.023099195,SSIM,1,0.269397535557622,-0.730602464442378
lena/,0_original.png,DCT col,0.018230181,SSIM,1,0.335068128934846,-0.664931871065154
lena/,1_poisson.png,Convolution filter,0.052491688,PSNR,27.1797195905448,31.6325064575044,4.45278686695955
lena/,1_poisson.png,Convolution filter,0.052491688,SSIM,0.576710935879218,0.825987134744447,0.24927619886523
lena/,1_poisson.png,Spectrum filter,0.051330558,PSNR,27.1797195905448,26.1020946224797,-1.07762496806518
lena/,1_poisson.png,Spectrum filter,0.051330558,SSIM,0.576710935879218,0.528591626174776,-0.0481193097044419
lena/,1_poisson.png,First spectrum then convolution,0.103387224,PSNR,27.1797195905448,29.1106603468719,1.93094075632704
lena/,1_poisson.png,First spectrum then convolution,0.103387224,SSIM,0.576710935879218,0.759169609074625,0.182458673195407
lena/,1_poisson.png,First convolution then spectrum,0.106901216,PSNR,27.1797195905448,28.456937681192,1.2772180906472
lena/,1_poisson.png,First convolution then spectrum,0.106901216,SSIM,0.576710935879218,0.75288468290015,0.176173747020933
lena/,1_poisson.png,Wiener Filter,0.009017204,PSNR,27.1797195905448,32.2807871581825,5.10106756763765
lena/,1_poisson.png,Wiener Filter,0.009017204,SSIM,0.576710935879218,0.844967099754424,0.268256163875206
lena/,1_poisson.png,FFT row,0.008750553,PSNR,27.1797195905448,18.2493655687084,-8.93035402183646
lena/,1_poisson.png,FFT row,0.008750553,SSIM,0.576710935879218,0.51193047830709,-0.0647804575721277
lena/,1_poisson.png,FFT col,0.007090535,PSNR,27.1797195905448,16.9167526493418,-10.262966941203
lena/,1_poisson.png,FFT col,0.007090535,SSIM,0.576710935879218,0.446289577216007,-0.130421358663211
lena/,1_poisson.png,DCT row,0.021300494,PSNR,27.1797195905448,13.8857353413015,-13.2939842492434
lena/,1_poisson.png,DCT row,0.021300494,SSIM,0.576710935879218,0.185375694553265,-0.391335241325953
lena/,1_poisson.png,DCT col,0.018181979,PSNR,27.1797195905448,14.9541885045851,-12.2255310859597
lena/,1_poisson.png,DCT col,0.018181979,SSIM,0.576710935879218,0.229568597046514,-0.347142338832704
lena/,2_speckle.png,Convolution filter,0.057292306,PSNR,18.8334932722477,27.112219273127,8.27872600087935
lena/,2_speckle.png,Convolution filter,0.057292306,SSIM,0.28700380254474,0.6060161791558,0.31901237661106
lena/,2_speckle.png,Spectrum filter,0.048603163,PSNR,18.8334932722477,18.9863926758479,0.152899403600244
lena/,2_speckle.png,Spectrum filter,0.048603163,SSIM,0.28700380254474,0.2712379981198,-0.01576580442494
lena/,2_speckle.png,First spectrum then convolution,0.127343309,PSNR,18.8334932722477,26.8244377921436,7.99094451989591
lena/,2_speckle.png,First spectrum then convolution,0.127343309,SSIM,0.28700380254474,0.59104887516269,0.30404507261795
lena/,2_speckle.png,First convolution then spectrum,0.132981221,PSNR,18.8334932722477,26.5435936381687,7.71010036592102
lena/,2_speckle.png,First convolution then spectrum,0.132981221,SSIM,0.28700380254474,0.588454852014165,0.301451049469425
lena/,2_speckle.png,Wiener Filter,0.013149423,PSNR,18.8334932722477,26.3892189681686,7.55572569592095
lena/,2_speckle.png,Wiener Filter,0.013149423,SSIM,0.28700380254474,0.630342697441607,0.343338894896868
lena/,2_speckle.png,FFT row,0.017303855,PSNR,18.8334932722477,16.9015509109232,-1.93194236132444
lena/,2_speckle.png,FFT row,0.017303855,SSIM,0.28700380254474,0.303080144234083,0.0160763416893436
lena/,2_speckle.png,FFT col,0.010384293,PSNR,18.8334932722477,15.8751768359511,-2.95831643629661
lena/,2_speckle.png,FFT col,0.010384293,SSIM,0.28700380254474,0.238840173406415,-0.0481636291383249
lena/,2_speckle.png,DCT row,0.043729162,PSNR,18.8334932722477,12.936766985369,-5.89672628687864
lena/,2_speckle.png,DCT row,0.043729162,SSIM,0.28700380254474,0.0976964783966343,-0.189307324148106
lena/,2_speckle.png,DCT col,0.021111705,PSNR,18.8334932722477,13.738625687948,-5.09486758429971
lena/,2_speckle.png,DCT col,0.021111705,SSIM,0.28700380254474,0.116959160535414,-0.170044642009326
lena/,3_saltpepper_0-1.png,Convolution filter,0.070881675,PSNR,15.4041241435475,23.8686510470157,8.4645269034682
lena/,3_saltpepper_0-1.png,Convolution filter,0.070881675,SSIM,0.173134292110534,0.461861938945446,0.288727646834912
lena/,3_saltpepper_0-1.png,Spectrum filter,0.100176188,PSNR,15.4041241435475,15.7549296296103,0.350805486062816
lena/,3_saltpepper_0-1.png,Spectrum filter,0.100176188,SSIM,0.173134292110534,0.166031135108581,-0.00710315700195288
lena/,3_saltpepper_0-1.png,First spectrum then convolution,0.247261255,PSNR,15.4041241435475,24.019410558563,8.61528641501552
lena/,3_saltpepper_0-1.png,First spectrum then convolution,0.247261255,SSIM,0.173134292110534,0.464883983866495,0.291749691755961
lena/,3_saltpepper_0-1.png,First convolution then spectrum,0.132820256,PSNR,15.4041241435475,24.1334863229027,8.72936217935524
lena/,3_saltpepper_0-1.png,First convolution then spectrum,0.132820256,SSIM,0.173134292110534,0.46755630118504,0.294422009074506
lena/,3_saltpepper_0-1.png,Wiener Filter,0.035962518,PSNR,15.4041241435475,22.4380864293686,7.03396228582105
lena/,3_saltpepper_0-1.png,Wiener Filter,0.035962518,SSIM,0.173134292110534,0.485041565056524,0.311907272945989
lena/,3_saltpepper_0-1.png,FFT row,0.013693236,PSNR,15.4041241435475,15.4844344506945,0.0803103071470179
lena/,3_saltpepper_0-1.png,FFT row,0.013693236,SSIM,0.173134292110534,0.217775187143518,0.0446408950329839
lena/,3_saltpepper_0-1.png,FFT col,0.007776198,PSNR,15.4041241435475,14.7830171549208,-0.621106988626686
lena/,3_saltpepper_0-1.png,FFT col,0.007776198,SSIM,0.173134292110534,0.177458319621446,0.0043240275109114
lena/,3_saltpepper_0-1.png,DCT row,0.026433508,PSNR,15.4041241435475,12.1286243777254,-3.27549976582207
lena/,3_saltpepper_0-1.png,DCT row,0.026433508,SSIM,0.173134292110534,0.0677904976475358,-0.105343794462998
lena/,3_saltpepper_0-1.png,DCT col,0.028627335,PSNR,15.4041241435475,12.7161667297408,-2.68795741380669
lena/,3_saltpepper_0-1.png,DCT col,0.028627335,SSIM,0.173134292110534,0.0751716542107016,-0.0979626378998326
lena/,4_gaussian_0_0-1.png,Convolution filter,0.074034299,PSNR,11.3534843040418,20.2188991161795,8.86541481213777
lena/,4_gaussian_0_0-1.png,Convolution filter,0.074034299,SSIM,0.0613402911863933,0.269711420779138,0.208371129592745
lena/,4_gaussian_0_0-1.png,Spectrum filter,0.065706612,PSNR,11.3534843040418,11.8724180928455,0.518933788803768
lena/,4_gaussian_0_0-1.png,Spectrum filter,0.065706612,SSIM,0.0613402911863933,0.0649251236068049,0.00358483242041163
lena/,4_gaussian_0_0-1.png,First spectrum then convolution,0.134882785,PSNR,11.3534843040418,20.4630562129719,9.10957190893016
lena/,4_gaussian_0_0-1.png,First spectrum then convolution,0.134882785,SSIM,0.0613402911863933,0.281747146760873,0.22040685557448
lena/,4_gaussian_0_0-1.png,First convolution then spectrum,0.136348898,PSNR,11.3534843040418,20.9650404903902,9.61155618634842
lena/,4_gaussian_0_0-1.png,First convolution then spectrum,0.136348898,SSIM,0.0613402911863933,0.293349870762789,0.232009579576396
lena/,4_gaussian_0_0-1.png,Wiener Filter,0.010880752,PSNR,11.3534843040418,21.7360228818287,10.382538577787
lena/,4_gaussian_0_0-1.png,Wiener Filter,0.010880752,SSIM,0.0613402911863933,0.373135183102967,0.311794891916574
lena/,4_gaussian_0_0-1.png,FFT row,0.009851494,PSNR,11.3534843040418,13.0097646678843,1.65628036384257
lena/,4_gaussian_0_0-1.png,FFT row,0.009851494,SSIM,0.0613402911863933,0.114527709271104,0.0531874180847105
lena/,4_gaussian_0_0-1.png,FFT col,0.009600361,PSNR,11.3534843040418,12.5761568741566,1.22267257011485
lena/,4_gaussian_0_0-1.png,FFT col,0.009600361,SSIM,0.0613402911863933,0.0899339206622982,0.0285936294759049
lena/,4_gaussian_0_0-1.png,DCT row,0.035141001,PSNR,11.3534843040418,10.3138801364856,-1.03960416755614
lena/,4_gaussian_0_0-1.png,DCT row,0.035141001,SSIM,0.0613402911863933,0.0325452906832287,-0.0287950005031646
lena/,4_gaussian_0_0-1.png,DCT col,0.029052429,PSNR,11.3534843040418,10.6743547588303,-0.679129545211484
lena/,4_gaussian_0_0-1.png,DCT col,0.029052429,SSIM,0.0613402911863933,0.0343318635899481,-0.0270084275964452
lena/,5_gaussian_0_0-5.png,Convolution filter,0.143570997,PSNR,7.88332579934813,15.7551533155863,7.87182751623814
lena/,5_gaussian_0_0-5.png,Convolution filter,0.143570997,SSIM,0.0215737188094446,0.12960351118679,0.108029792377346
lena/,5_gaussian_0_0-5.png,Spectrum filter,0.082987575,PSNR,7.88332579934813,8.74866881361967,0.865343014271542
lena/,5_gaussian_0_0-5.png,Spectrum filter,0.082987575,SSIM,0.0215737188094446,0.0246044643290102,0.00303074551956553
lena/,5_gaussian_0_0-5.png,First spectrum then convolution,0.123515867,PSNR,7.88332579934813,16.0548318613064,8.17150606195828
lena/,5_gaussian_0_0-5.png,First spectrum then convolution,0.123515867,SSIM,0.0215737188094446,0.143134972998049,0.121561254188604
lena/,5_gaussian_0_0-5.png,First convolution then spectrum,0.117045936,PSNR,7.88332579934813,16.4471311544447,8.56380535509659
lena/,5_gaussian_0_0-5.png,First convolution then spectrum,0.117045936,SSIM,0.0215737188094446,0.149217322350341,0.127643603540897
lena/,5_gaussian_0_0-5.png,Wiener Filter,0.011008905,PSNR,7.88332579934813,17.5056576732433,9.62233187389515
lena/,5_gaussian_0_0-5.png,Wiener Filter,0.011008905,SSIM,0.0215737188094446,0.229335058292006,0.207761339482562
lena/,5_gaussian_0_0-5.png,FFT row,0.010020285,PSNR,7.88332579934813,10.296639690008,2.41331389065983
lena/,5_gaussian_0_0-5.png,FFT row,0.010020285,SSIM,0.0215737188094446,0.0628924996944577,0.0413187808850131
lena/,5_gaussian_0_0-5.png,FFT col,0.008556822,PSNR,7.88332579934813,10.1142478820699,2.23092208272176
lena/,5_gaussian_0_0-5.png,FFT col,0.008556822,SSIM,0.0215737188094446,0.0529143641582362,0.0313406453487916
lena/,5_gaussian_0_0-5.png,DCT row,0.03035651,PSNR,7.88332579934813,8.74035376018695,0.85702796083882
lena/,5_gaussian_0_0-5.png,DCT row,0.03035651,SSIM,0.0215737188094446,0.0151200082952407,-0.0064537105142039
lena/,5_gaussian_0_0-5.png,DCT col,0.02352407,PSNR,7.88332579934813,8.86471013253642,0.981384333188294
lena/,5_gaussian_0_0-5.png,DCT col,0.02352407,SSIM,0.0215737188094446,0.0154345300457435,-0.00613918876370115
lena/,6_hor._stripes_w3_p8_s1_f0.png,Convolution filter,0.066022352,PSNR,9.90992063768207,11.398181871271,1.48826123358896
lena/,6_hor._stripes_w3_p8_s1_f0.png,Convolution filter,0.066022352,SSIM,0.0986263454374574,0.117147170350324,0.0185208249128662
lena/,6_hor._stripes_w3_p8_s1_f0.png,Spectrum filter,0.05815761,PSNR,9.90992063768207,14.0226026380967,4.11268200041468
lena/,6_hor._stripes_w3_p8_s1_f0.png,Spectrum filter,0.05815761,SSIM,0.0986263454374574,0.668425615411796,0.569799269974339
lena/,6_hor._stripes_w3_p8_s1_f0.png,First spectrum then convolution,0.156906212,PSNR,9.90992063768207,14.0141552753177,4.10423463763567
lena/,6_hor._stripes_w3_p8_s1_f0.png,First spectrum then convolution,0.156906212,SSIM,0.0986263454374574,0.671554102812145,0.572927757374687
lena/,6_hor._stripes_w3_p8_s1_f0.png,First convolution then spectrum,0.12680967,PSNR,9.90992063768207,14.0016549059042,4.09173426822212
lena/,6_hor._stripes_w3_p8_s1_f0.png,First convolution then spectrum,0.12680967,SSIM,0.0986263454374574,0.66809499288397,0.569468647446513
lena/,6_hor._stripes_w3_p8_s1_f0.png,Wiener Filter,0.011297023,PSNR,9.90992063768207,11.7889410390008,1.87902040131872
lena/,6_hor._stripes_w3_p8_s1_f0.png,Wiener Filter,0.011297023,SSIM,0.0986263454374574,0.158870781563242,0.0602444361257848
lena/,6_hor._stripes_w3_p8_s1_f0.png,FFT row,0.009751121,PSNR,9.90992063768207,11.0786198209299,1.16869918324781
lena/,6_hor._stripes_w3_p8_s1_f0.png,FFT row,0.009751121,SSIM,0.0986263454374574,0.153666873432701,0.0550405279952438
lena/,6_hor._stripes_w3_p8_s1_f0.png,FFT col,0.011823187,PSNR,9.90992063768207,9.42307539759489,-0.486845240087176
lena/,6_hor._stripes_w3_p8_s1_f0.png,FFT col,0.011823187,SSIM,0.0986263454374574,0.039513457955196,-0.0591128874822614
lena/,6_hor._stripes_w3_p8_s1_f0.png,DCT row,0.026628241,PSNR,9.90992063768207,9.52446012714384,-0.385460510538223
lena/,6_hor._stripes_w3_p8_s1_f0.png,DCT row,0.026628241,SSIM,0.0986263454374574,0.0399285712627493,-0.0586977741747081
lena/,6_hor._stripes_w3_p8_s1_f0.png,DCT col,0.023629122,PSNR,9.90992063768207,9.97995866764066,0.0700380299585959
lena/,6_hor._stripes_w3_p8_s1_f0.png,DCT col,0.023629122,SSIM,0.0986263454374574,0.0446371653241786,-0.0539891801132788
lena/,7_hor._stripes_w1_p10_s1_f0.png,Convolution filter,0.064922899,PSNR,15.5956738223379,20.0754649177913,4.47979109545341
lena/,7_hor._stripes_w1_p10_s1_f0.png,Convolution filter,0.064922899,SSIM,0.332537338624757,0.410949207581032,0.0784118689562754
lena/,7_hor._stripes_w1_p10_s1_f0.png,Spectrum filter,0.059310966,PSNR,15.5956738223379,22.4746240288337,6.8789502064958
lena/,7_hor._stripes_w1_p10_s1_f0.png,Spectrum filter,0.059310966,SSIM,0.332537338624757,0.592166569675731,0.259629231050974
lena/,7_hor._stripes_w1_p10_s1_f0.png,First spectrum then convolution,0.125356587,PSNR,15.5956738223379,22.696242171493,7.10056834915513
lena/,7_hor._stripes_w1_p10_s1_f0.png,First spectrum then convolution,0.125356587,SSIM,0.332537338624757,0.588946622321958,0.256409283697201
lena/,7_hor._stripes_w1_p10_s1_f0.png,First convolution then spectrum,0.132452269,PSNR,15.5956738223379,22.5594820359913,6.96380821365344
lena/,7_hor._stripes_w1_p10_s1_f0.png,First convolution then spectrum,0.132452269,SSIM,0.332537338624757,0.576661851488042,0.244124512863285
lena/,7_hor._stripes_w1_p10_s1_f0.png,Wiener Filter,0.010371094,PSNR,15.5956738223379,18.4896809961507,2.89400717381282
lena/,7_hor._stripes_w1_p10_s1_f0.png,Wiener Filter,0.010371094,SSIM,0.332537338624757,0.400523928672197,0.0679865900474405
lena/,7_hor._stripes_w1_p10_s1_f0.png,FFT row,0.010744435,PSNR,15.5956738223379,15.4600050944139,-0.135668727923973
lena/,7_hor._stripes_w1_p10_s1_f0.png,FFT row,0.010744435,SSIM,0.332537338624757,0.32376985248105,-0.00876748614370709
lena/,7_hor._stripes_w1_p10_s1_f0.png,FFT col,0.008366505,PSNR,15.5956738223379,13.4678329484339,-2.12784087390401
lena/,7_hor._stripes_w1_p10_s1_f0.png,FFT col,0.008366505,SSIM,0.332537338624757,0.173360434272612,-0.159176904352145
lena/,7_hor._stripes_w1_p10_s1_f0.png,DCT row,0.02456268,PSNR,15.5956738223379,12.2967526535262,-3.29892116881165
lena/,7_hor._stripes_w1_p10_s1_f0.png,DCT row,0.02456268,SSIM,0.332537338624757,0.113978490805421,-0.218558847819336
lena/,7_hor._stripes_w1_p10_s1_f0.png,DCT col,0.022418015,PSNR,15.5956738223379,13.0247551613978,-2.57091866094008
lena/,7_hor._stripes_w1_p10_s1_f0.png,DCT col,0.022418015,SSIM,0.332537338624757,0.11613723855227,-0.216400100072487
lena/,8_vert._stripes_w3_p8_s1_f0.png,Convolution filter,0.06492365,PSNR,9.92805027780493,11.4150854438824,1.4870351660775
lena/,8_vert._stripes_w3_p8_s1_f0.png,Convolution filter,0.06492365,SSIM,0.0939603294328399,0.109839548154411,0.0158792187215712
lena/,8_vert._stripes_w3_p8_s1_f0.png,Spectrum filter,0.058592334,PSNR,9.92805027780493,14.0123901199952,4.08433984219028
lena/,8_vert._stripes_w3_p8_s1_f0.png,Spectrum filter,0.058592334,SSIM,0.0939603294328399,0.664843785078973,0.570883455646133
lena/,8_vert._stripes_w3_p8_s1_f0.png,First spectrum then convolution,0.131529159,PSNR,9.92805027780493,14.0019204006212,4.07387012281625
lena/,8_vert._stripes_w3_p8_s1_f0.png,First spectrum then convolution,0.131529159,SSIM,0.0939603294328399,0.661104503680246,0.567144174247406
lena/,8_vert._stripes_w3_p8_s1_f0.png,First convolution then spectrum,0.134289558,PSNR,9.92805027780493,13.9905972726735,4.06254699486855
lena/,8_vert._stripes_w3_p8_s1_f0.png,First convolution then spectrum,0.134289558,SSIM,0.0939603294328399,0.654276963853829,0.560316634420989
lena/,8_vert._stripes_w3_p8_s1_f0.png,Wiener Filter,0.011772035,PSNR,9.92805027780493,11.8076961575814,1.87964587977649
lena/,8_vert._stripes_w3_p8_s1_f0.png,Wiener Filter,0.011772035,SSIM,0.0939603294328399,0.154193897388821,0.0602335679559811
lena/,8_vert._stripes_w3_p8_s1_f0.png,FFT row,0.010312457,PSNR,9.92805027780493,9.5688486076881,-0.359201670116828
lena/,8_vert._stripes_w3_p8_s1_f0.png,FFT row,0.010312457,SSIM,0.0939603294328399,0.0513993008196397,-0.0425610286132002
lena/,8_vert._stripes_w3_p8_s1_f0.png,FFT col,0.008560003,PSNR,9.92805027780493,10.8393924287695,0.911342150964536
lena/,8_vert._stripes_w3_p8_s1_f0.png,FFT col,0.008560003,SSIM,0.0939603294328399,0.123890966829906,0.0299306373970664
lena/,8_vert._stripes_w3_p8_s1_f0.png,DCT row,0.028791324,PSNR,9.92805027780493,9.79661458277976,-0.131435695025177
lena/,8_vert._stripes_w3_p8_s1_f0.png,DCT row,0.028791324,SSIM,0.0939603294328399,0.0367890417565497,-0.0571712876762901
lena/,8_vert._stripes_w3_p8_s1_f0.png,DCT col,0.023129398,PSNR,9.92805027780493,9.77577044559572,-0.152279832209214
lena/,8_vert._stripes_w3_p8_s1_f0.png,DCT col,0.023129398,SSIM,0.0939603294328399,0.0451923248675828,-0.0487680045652571
lena/,9_stripes_w3_p8_s1_f0.png,Convolution filter,0.073989453,PSNR,7.80830383650632,8.80101072314986,0.992706886643541
lena/,9_stripes_w3_p8_s1_f0.png,Convolution filter,0.073989453,SSIM,0.0439948675910818,0.0654338137322379,0.0214389461411561
lena/,9_stripes_w3_p8_s1_f0.png,Spectrum filter,0.073241327,PSNR,7.80830383650632,9.893749832973,2.08544599646668
lena/,9_stripes_w3_p8_s1_f0.png,Spectrum filter,0.073241327,SSIM,0.0439948675910818,0.409174276913183,0.365179409322101
lena/,9_stripes_w3_p8_s1_f0.png,First spectrum then convolution,0.154161919,PSNR,7.80830383650632,9.90926286346441,2.1009590269581
lena/,9_stripes_w3_p8_s1_f0.png,First spectrum then convolution,0.154161919,SSIM,0.0439948675910818,0.458350099435769,0.414355231844687
lena/,9_stripes_w3_p8_s1_f0.png,First convolution then spectrum,0.150905944,PSNR,7.80830383650632,9.90284419869721,2.0945403621909
lena/,9_stripes_w3_p8_s1_f0.png,First convolution then spectrum,0.150905944,SSIM,0.0439948675910818,0.459052363230489,0.415057495639407
lena/,9_stripes_w3_p8_s1_f0.png,Wiener Filter,0.015562101,PSNR,7.80830383650632,9.2441704951299,1.43586665862359
lena/,9_stripes_w3_p8_s1_f0.png,Wiener Filter,0.015562101,SSIM,0.0439948675910818,0.111101052804453,0.0671061852133714
lena/,9_stripes_w3_p8_s1_f0.png,FFT row,0.01735927,PSNR,7.80830383650632,8.22358591233716,0.41528207583084
lena/,9_stripes_w3_p8_s1_f0.png,FFT row,0.01735927,SSIM,0.0439948675910818,0.0391274140174016,-0.00486745357368022
lena/,9_stripes_w3_p8_s1_f0.png,FFT col,0.013249506,PSNR,7.80830383650632,8.13596910354541,0.327665267039096
lena/,9_stripes_w3_p8_s1_f0.png,FFT col,0.013249506,SSIM,0.0439948675910818,0.0320584382477531,-0.0119364293433287
lena/,9_stripes_w3_p8_s1_f0.png,DCT row,0.027738285,PSNR,7.80830383650632,8.23950281797668,0.431198981470365
lena/,9_stripes_w3_p8_s1_f0.png,DCT row,0.027738285,SSIM,0.0439948675910818,0.0234843340222036,-0.0205105335688782
lena/,9_stripes_w3_p8_s1_f0.png,DCT col,0.028183327,PSNR,7.80830383650632,8.34990911114051,0.541605274634188
lena/,9_stripes_w3_p8_s1_f0.png,DCT col,0.028183327,SSIM,0.0439948675910818,0.0276322352830866,-0.0163626323079952
lena_color/,0_original.png,Convolution filter,0.177865297,SSIM,1,0.984371246540659,-0.0156287534593414
lena_color/,0_original.png,Spectrum filter,0.179327052,SSIM,1,0.982542729608308,-0.0174572703916915
lena_color/,0_original.png,First spectrum then convolution,0.3434107,SSIM,1,0.968813017951708,-0.0311869820482916
lena_color/,0_original.png,First convolution then spectrum,0.333888673,SSIM,1,0.965871730160899,-0.0341282698391007
lena_color/,0_original.png,Wiener Filter,0.029538563,SSIM,1,0.987362687696241,-0.012637312303759
lena_color/,0_original.png,FFT row,0.043914307,SSIM,1,0.901334615810237,-0.0986653841897626
lena_color/,0_original.png,FFT col,0.027287665,SSIM,1,0.874852767218785,-0.125147232781215
lena_color/,0_original.png,DCT row,0.080957165,SSIM,1,0.716871672693824,-0.283128327306176
lena_color/,0_original.png,DCT col,0.073556803,SSIM,1,0.75238283195677,-0.24761716804323
lena_color/,1_poisson.png,Convolution filter,0.172985952,PSNR,27.137939672081,30.9240971644532,3.78615749237224
